yourlist:M201911176746803381A1F0E0DB47453E0216320D0D7341K	Entry
116751	Q9UPP1
125713	Q14C87
109315	Q13547
199495	Q60632
205096	Q8BGT6
108384	Q92889
125389	Q9BXJ5
119492	Q01546
122538	O75865
116915	Q96PU5
110993	P29728
139275	Q9UBV8
109993	P23276
108234	Q8IXK0
1776995	F5HID2
122506	Q96SI1
119160	Q9BQ16
122142	Q9H6S1
204015	P15806
122648	Q9Y5P0
110217	O75074
120207	Q9HCC8
124539	A7MBM2
125285	Q96RL6
119447	Q8IY34
123020	Q5SXH7
107211	O43822
533138	Q9XVR6
108548	P61328
114575	O15547
120519	Q9NVF9
200482	P70372
207904	O88811
122523	Q14CZ7
114287	Q13444
111133	O95206
201131	P00342
115877	Q92737
109772	P18510
110771	P19338
213931	Q8JZX3
115110	O60268
115772	Q5XX13
107798	Q49AN0
124188	Q9BYI3
116589	P49903
116472	Q6IBS0
115073	Q5TAP6
122661	Q6UWU2
119545	Q8WVD3
35097	Q04636
112592	P12931
108604	Q16655
120382	Q8N4H0
248852	Q63635
107857	P01040
36153	Q02685
116539	O94979
129047	Q86SG7
117578	Q5T6S3
129692	Q8N729
232090	Q8CCJ9
113251	P50552
122833	Q9HAB8
106932	P08243
136572	Q6PRD1
111674	P35998
128985	Q9H4W6
114126	Q9UNH5
279065	O14008
202331	Q9R269
116160	P30040
224509	F6ZDS4
110339	P49736
200775	P60229
124791	Q2VPB7
107362	P09564
106994	P06576
126613	Q9H672
121822	Q15935
277157	O74782
128951	Q5HYJ1
118935	Q9Y673
119935	Q9P2X0
116645	Q9UPQ0
128072	Q8WTP9
120649	Q96AG4
113870	P41229
123723	Q8IXQ6
215533	Q3TJZ6
203344	P97801
199230	Q62108
111809	Q12851
112510	P09012
122132	Q9HAH7
120663	Q9NQX6
137636	A1L157
109257	P10144
111067	P47900
240608	O55074
240608	Q7TN79
114244	Q96DT5
115531	P78383
124839	Q86Y22
128627	Q8NA61
277455	P36612
110180	O60427
123316	Q9C0F3
115106	P56524
222685	Q8R207
118165	O43464
1642052	P49115
110291	P20794
129029	Q5SRE7
129344	Q96NT1
113203	P11684
109452	P14652
33626	P07259
114981	Q9NYQ6
123025	Q7Z2K6
123917	Q9H7B2
116966	Q5VYK3
125797	Q147X3
122071	Q9H7M9
35404	Q05016
64582	P42124
127837	Q8WUU4
200359	P61979
33784	P47102
200265	P51859
198626	Q61081
114669	O60682
121171	Q9HB14
276101	O74894
128638	Q5VV17
127778	Q8IYK8
122800	Q53R41
106559	P78348
128880	Q8NDX2
207596	Q8CCS6
107057	Q07812
116273	Q96E40
114771	Q15848
31855	P54860
120855	Q96QK1
202090	P35486
118898	Q9NZQ9
118927	Q9BWE0
113352	Q13426
184176	F1N6G5
121629	Q9P2E2
203220	Q62226
107937	P11712
127394	Q96LR4
248131	P38650
111225	Q9NQP4
129281	Q8WXC3
107313	Q13951
126393	Q8WUU8
116781	Q9NTN3
114679	Q12904
116770	Q14141
35970	P21560
122015	Q9HAW4
112739	Q01995
121404	Q8IZE3
123504	Q9H295
198068	P05063
125509	O60391
114880	Q9UNE2
205172	Q9QZX7
198565	P80318
121747	Q9HCD5
127600	Q8IZV5
125884	Q70EL4
1205553	P18094
113006	P11388
106785	Q12955
108467	P12104
122500	Q9BQ15
204783	O35387
112479	P51531
121898	P98173
106610	Q03154
119266	Q9Y320
247534	P54370
127959	Q7Z4T8
130945	Q9UFE4
116938	Q9UNK9
119696	Q9Y376
117097	Q2M3T9
35045	P11747
108324	O00423
121989	Q8IZ13
121739	Q9BXM0
230696	Q68FH0
123726	Q8TCZ2
127169	Q8NCR0
125819	Q96LD8
109126	P32298
33729	P40958
107395	O75356
109663	P01563
139247	Q569K6
106628	O60503
127386	Q8N9V3
111328	Q13563
31505	Q06001
113440	Q9UC07
121636	Q5T5U3
229105	Q6P9L6
30970	P25555
119102	P57678
111843	P61224
35476	P25045
123584	P58397
113446	Q96N20
110619	P00156
121718	Q9HCI5
128105	Q9UMS6
122862	Q9H936
212226	Q8CCJ3
32114	P15732
123627	Q96GS6
129475	Q86UU0
127072	P0DL12
106587	P63267
249335	Q9JI51
121358	Q9NQZ7
117302	P98077
60899	P28159
33275	P53218
120695	Q9NQ86
114798	O94761
111086	P68402
231702	Q8R1Q8
31793	P22336
106828	P98170
200204	Q64279
202286	P28661
130292	Q6ZRV2
119575	Q9P013
198681	P97766
121014	Q9UNZ2
107694	P20849
123253	Q9H6H4
121770	Q8WUU5
122357	Q96EL2
276425	Q9P7W3
112893	P10646
246372	P35351
202013	P63005
121455	Q9ULT0
114131	O43583
108472	O15360
108022	P26196
221020	Q922Q8
280112	O59790
217459	Q9DC70
231137	Q99KY4
109784	P08887
120081	Q8N7H5
123035	Q9H967
117695	O60356
122718	Q96CN9
125965	P59047
205976	Q9QXW2
219833	Q9ESN6
120703	Q6XR72
219914	Q9WTQ5
278164	Q09916
124919	Q96JP9
36870	P40078
121595	Q86T90
114085	P07098
31862	P48570
130175	Q8N9Q2
276330	Q9P784
121228	Q9BUT1
204347	Q62348
34149	P36113
198122	O35643
110445	P51825
108424	P22794
115950	Q9Y266
115272	O60732
121655	Q9P266
113807	Q92804
120795	Q9NWS9
108429	P49640
114587	O94817
122173	Q9GZS1
122458	Q96HD1
121140	Q9NR22
127321	Q8N4P2
114290	Q13443
111580	P28482
211625	P57776
109245	P08236
127490	Q8TBQ9
111289	P50452
33928	P36047
676813	P02263
106691	P30556
117029	O95502
278010	Q09758
108528	P39748
120641	Q9BXL5
202144	Q9WTU0
118993	Q6NUK1
215184	Q8C5P7
36544	P38820
123749	Q7Z6R9
203561	O35526
122562	Q96N66
125879	Q6X784
35253	Q04272
108130	Q8IZD9
110921	P00491
110050	P13647
115227	Q14157
127217	Q8N4L8
113490	P52737
222534	P61211
115726	Q6PML9
131483	Q9BVA1
120714	P35712
110875	Q6T4R5
109979	Q12791
126287	Q8TF66
198267	Q9Z1G4
200315	P17710
33242	P53197
129940	Q8IXN7
119980	Q9NVX2
109424	P07910
202021	Q61036
123554	Q8NG11
33001	P33307
126827	Q9BUA3
111227	O43520
114000	O75815
127944	Q8IU60
111532	P50391
128946	Q969S2
199344	Q61062
129877	Q86VD7
163240	Q3T035
122056	Q9H3U7
125733	Q96DN0
204714	Q9WUM4
117960	Q99853
112931	P35590
107593	A8K7I4
130764	P61647
127170	Q8N468
121972	Q6YHU6
108358	P54756
124372	Q96DT6
113967	O43820
108265	P52798
216689	Q8CEE0
259578	B0BNN3
107408	P32970
36431	P87108
279320	Q10265
107060	Q96RK4
115114	Q15004
119585	Q9P0S9
115773	O75838
100680	Q8QGV2
276012	O74893
117042	O95214
138665	Q5T749
31617	P06168
107187	O15484
109776	P31785
35422	P20107
971413	P10205
113582	Q8WZ55
229458	Q3TRR0
115532	P61962
279167	Q09669
110248	P09758
116732	Q684P5
251032	Q99J82
130462	Q8N1H7
211481	Q9CPU4
109469	P31276
120259	Q9NX76
115541	P52758
118081	Q14749
114563	O95835
110108	Q13751
129226	O43301
125380	Q9H0X9
109056	P36915
204993	Q9Z2U1
124651	Q7L8W6
205174	P27659
136221	Q6L8G9
110458	P08254
112345	P05408
250112	Q9JHW0
121585	Q8WXD9
114944	O15516
111508	P62714
109323	P07686
132031	Q86UV6
134476	Q92543
28796	Q9C9E3
115340	Q92837
108137	P27487
120079	Q8N0Z9
119448	Q9NP55
246351	P16638
111171	P16499
31330	P38915
108160	O60469
119975	Q6FIF0
33595	P06244
122995	Q9H6Y5
570397	A6NKL6
122554	Q5TEU4
120530	Q9H8Y1
115001	Q15014
115144	Q15388
115407	O60636
126046	Q5RHP9
124176	Q49A26
8876	P32961
106821	P25054
276344	Q92399
119219	Q9Y3B1
204544	P70315
36538	P38815
116910	Q9C040
222856	Q68FF7
113264	P11473
110392	Q9UBP6
109399	P04035
110357	P21741
111619	O60256
115598	O95197
31003	Q9URQ5
203055	P14069
35626	P16523
263662	P84060
115111	Q7Z3T8
115518	Q9Y2A4
204874	Q9CU62
204402	P0CG49
115832	Q01629
116530	Q9Y2H6
126584	Q8TDG2
112480	Q14527
34913	P40507
211545	Q3TGF2
36112	Q02754
108389	P11308
33997	Q03957
114663	O95997
201467	P08249
120458	Q9NVT9
534745	P33152
116600	O60870
116546	Q7L1V2
31592	Q06178
119991	Q96JJ7
122732	Q96A35
114775	Q9UMR5
107148	Q10588
119928	Q9NSN8
119043	Q9NS61
132482	Q8TAD7
114177	O95263
108892	O95995
111238	P35080
109255	Q02846
108342	Q07075
207965	Q9Z207
115736	O00479
136098	Q8NEG7
276974	O94390
200059	P23819
114067	Q8ND30
128918	Q8IWL8
110007	Q14954
110007	Q8N109
114136	Q8WXG6
114390	P46695
117509	O94822
116814	Q8IWE5
106731	P09972
120912	Q9NY72
120082	Q460N5
121670	Q9P242
126261	Q719I0
125418	Q8WYN0
115716	O96008
116163	Q53G44
36068	Q02969
111965	P10153
201585	P20357
116794	Q14696
107292	P55211
119527	Q9Y5R4
111802	P20336
107433	P60953
33300	P50276
205940	Q9JMG7
106669	O95782
126370	Q6NUS8
24174	Q93YP0
120916	Q9P2M1
107497	O15182
129075	Q6ZU64
128991	Q5W0Z9
115308	O14979
115900	Q07666
120493	Q9HCM1
116899	Q5T1M5
111559	P10644
231245	Q6GQT1
122414	Q9BS31
35824	P33309
121487	Q9HC52
115652	Q00978
971758	P03196
971758	P0C6Z4
115015	Q15051
207998	Q9R1T2
112430	P48065
276746	Q10202
592527	P06897
114816	O95631
119453	Q9NYL5
109133	P24298
205274	Q8VHG2
123689	Q8WWW0
129974	Q9UDX3
221946	Q8C1Z7
111440	P27169
124901	Q8N1B3
115809	O15269
34111	P35210
116778	Q9NY15
109953	Q9NZV8
131043	Q2WGJ6
119396	Q6PGQ1
111661	O14818
127879	Q5T7N3
112323	Q5T4F7
121033	Q9BT22
131887	Q8IYX4
206665	Q8BGZ4
116517	Q9UPQ8
129804	Q719H9
112727	P20366
120901	Q9NUQ3
124525	Q96KC9
124270	Q5SV97
130356	Q8IV03
127151	Q86YI8
107940	P10635
110883	Q16617
128592	Q5QJ74
108992	P48507
939060	H3BUK9
119319	Q9NVW2
117117	O95273
120668	Q9C0K7
112873	Q15554
108509	O75015
108332	Q14247
120084	Q9P2G4
120456	Q9NVU7
124661	Q86SQ0
108268	P52799
202261	P70206
117100	O95427
249104	Q62599
130234	Q6DKI1
1776988	F5HFD2
126015	Q8N0Z8
250846	Q78P75
247913	P38983
124535	Q8IWB1
112916	P35442
32149	P52490
117667	P56750
121787	Q6ZRH7
36405	P38744
114916	Q86X95
30955	P25367
231417	Q7M6Y3
31844	P36521
113216	P07911
593305	A8MUP2
114738	Q9UKN8
122143	Q9Y2N7
121334	Q5T160
31335	P15624
129171	Q5VWI1
114424	O43556
116980	Q9NXA8
159144	P19120
121394	Q7LBR1
159836	P21146
119625	Q9UPN9
250377	O55043
123743	Q9BRS2
120804	Q3BBV0
122094	Q9H257
248270	Q63525
110494	Q00013
132677	Q86X59
123072	Q14CX7
125465	Q96A37
107851	P01037
116548	Q9Y2G4
131288	O14513
207995	Q9Z2N8
126143	Q8NFJ6
112554	Q02446
124983	Q96HR9
197927	Q9D358
111910	Q13127
208542	Q9ES70
249665	P62870
113230	P31930
123715	Q9NP97
120832	Q9NVZ3
107978	P49619
111352	P16885
31467	Q12460
136097	Q8IZY5
127277	Q8IWD4
1172720	P58772
248296	P40307
110015	P10721
247058	P09606
116256	Q92547
119337	Q9UKD2
111249	P49763
110636	P03915
113552	Q9NYT6
216996	Q562D6
109906	Q14624
114367	O95388
115825	Q99832
939557	A8MYJ7
108809	O15117
575703	P0C5J1
107753	Q96IY4
201978	Q60590
119470	Q96IZ7
107703	Q07092
108502	P06734
120386	Q9NWD8
124289	Q96IU4
128218	Q4KMQ2
107744	P10176
204956	Q80XI6
110764	P13591
571081	A8MZG2
112785	Q15370
118126	Q6XE24
108116	O00115
110373	Q14814
126088	Q8TAS1
120105	Q9NX47
205029	Q8BP92
61608	Q9V333
126644	Q9H598
1678066	F5HCM1
123295	Q9BT76
114530	P56748
123858	Q6UWL6
131939	Q6PK81
34155	P36119
108374	P42566
230627	Q148V7
33014	P53077
123817	Q9H040
106977	O14983
234474	Q7TPQ3
971810	P0CK53
971810	P0CK55
117968	Q8IZ69
198142	Q9DBR4
277416	Q09188
116238	Q16630
130092	Q6P087
122097	Q9H4A9
121281	Q6GQQ9
117003	Q13148
112077	P46779
131446	Q5JT25
119832	P57057
123577	Q8NF50
107307	P56539
211137	Q9EQH3
112663	P51957
109704	P35858
35900	P52923
109621	Q02556
213873	A2AM29
124981	Q7L7L0
35779	Q10740
126716	Q9BYN0
251633	Q9Z158
32440	Q06408
132150	Q86WK7
113869	P98175
33317	Q00723
114867	Q9UNK0
204863	Q9Z1S5
203365	O55042
128006	Q9BWG4
222711	Q6PB44
971430	P10185
113281	Q8NER1
200944	P33174
112576	P35321
114125	O60729
116581	Q15691
60835	Q10714
124080	Q8IZL2
225610	Q8CAY6
111631	P49862
130831	Q96S16
111606	F7VJQ1
111606	P04156
113646	P48634
212563	Q9CX34
108909	Q92947
120534	Q96J84
123997	Q96LW7
128583	A2RU14
116257	Q9BZY9
235092	Q8CGP5
129990	Q8NCX0
128804	Q5T1Q4
42840	P34691
123231	Q5VSY0
117162	Q9ULX7
107245	P22676
119616	P61960
110273	P20916
115780	Q9Y4L1
114143	O75569
107445	P55289
110239	Q16553
119609	Q86UY8
112169	P28702
115555	O75956
124113	Q8NEB7
129747	B2RV13
215631	Q5XJV7
110717	P10916
106805	P08758
116676	O15018
123945	Q6ZN04
127983	Q68BL7
124084	Q8TDC3
219695	Q91XU0
116480	P62070
129173	A2AJT9
132718	Q6ZS10
108276	P00533
113598	Q8TCU4
126126	Q8WWY7
116738	Q9Y4F4
112142	P62266
107476	O14627
117812	Q96D42
262912	Q6AYQ4
36560	P38833
33536	P32451
123606	Q8N823
131921	A4FU69
113232	P47985
126183	Q96A84
110831	Q99519
121675	Q6UXK5
170522	P02584
108766	P01225
115399	O15511
109320	Q9NRZ9
251030	Q924I2
112860	P32119
114325	O00220
108793	P04066
219977	Q61466
119520	Q9Y5S1
128393	Q6Y1H2
110080	Q14532
203612	P46097
109357	P13765
106972	P14415
124040	Q6UX40
116788	Q92599
113636	Q92187
111611	P07225
121475	Q6U841
119469	Q9NZE8
111804	Q8TBN0
202428	O88685
278917	O13844
108237	P68104
126850	Q8TBY9
275442	O74988
116398	Q9UHN1
108296	Q04637
131914	Q8N4P3
124439	O60814
112112	P23443
230994	Q8K1C9
117034	O95571
206563	Q8C1B7
221164	Q99LI9
122953	Q5T2D2
208005	O88907
118088	Q9Y3P8
109212	P52655
121493	Q9HCX3
1678011	F5HAQ7
214076	Q9CSU0
99484	Q9PTD7
270382	B2DD29
119949	Q9NY12
21604	Q9LVA0
132286	Q6SJ96
204250	P25119
110890	Q16517
116262	O15258
120794	Q9NWT6
111924	Q33E94
122923	Q8N371
126361	Q86YN6
67407	Q24151
115684	P46937
248512	O08774
201857	P46460
275576	Q09912
116251	Q9NTK1
110928	O60500
111803	P20337
116736	Q8IWT3
203525	P42230
124544	Q9C0D4
32444	Q12493
207701	Q9JIG7
125484	Q96J86
130969	Q5M9N0
33537	P53051
131515	Q8WVK7
114478	O60229
118977	Q9UL01
108802	P22083
122912	Q86TA1
122485	Q9BW61
107200	Q9UHR6
31781	P39724
117653	Q9NRD0
112444	Q12908
231454	Q3U0P1
116175	Q96AC1
122593	Q9H469
111679	P62333
33696	P47041
124058	Q96IL0
120483	Q9NVP4
211616	Q9CWL8
108272	Q9HCU4
215139	Q9CQ25
124337	Q3YBR2
128344	Q7Z698
111835	P11234
111202	P36955
121691	Q9P1Z3
114168	O75840
131910	Q8N6V9
207969	Q9WUD1
120720	O75541
115318	Q9Y243
126272	Q96DA6
110734	Q13459
126507	Q96MD7
32058	P41910
124847	Q9H3J6
115893	Q96N28
107438	P33151
121070	Q9Y5E3
278207	Q9P3T6
121954	Q8N6W0
119055	Q9NZN3
199453	P21550
159035	P02510
124866	Q9H4I9
115439	P09093
114269	O43148
112447	P55011
112396	P43005
113881	P41227
112774	O95947
112763	Q02246
213321	Q8VC57
124158	O15417
125926	Q8IVV2
117983	Q9UQV4
123063	A5PLN9
203253	Q61387
114858	Q5TEJ8
113565	P21754
112074	P61353
112494	O60906
127485	Q8IUR6
111936	O15492
116303	O95229
107983	O43293
198179	P19091
120251	Q8TAV3
111922	P48378
277466	Q9UUC1
116992	Q13352
20640	Q94AT1
121145	Q9NS64
33831	P47124
116096	P61026
250408	O35826
132814	Q86YZ3
110324	Q9NR56
114051	Q5VT25
208009	Q9WUN2
111792	P11216
212891	Q91VT1
120468	Q9NVS2
122449	Q9HCS2
115176	A2RU30
130156	Q8NBA8
32642	P34222
613028	Q76LV1
608552	Q8NAP8
112338	P11686
118145	Q14966
125637	Q8TF27
114987	P49758
118976	Q9UMX5
122865	Q8WXK3
120421	Q9NW61
117568	Q14C86
122893	Q9H6U8
112939	O00142
106867	P48444
107017	O95670
112452	P46059
108101	Q9Y5R6
204907	Q8BG30
112947	O43897
123966	Q9H061
135623	Q8IYB0
123912	Q5VT97
121283	Q96IW2
116979	Q14019
120819	Q6B0I6
109767	O14920
204252	P41272
111685	P51665
113854	P53675
121994	Q9H4Z2
120522	Q9BTT6
108677	Q16595
114705	Q9Y2T6
120681	Q9NRB3
109505	P35367
123736	Q86TN4
117378	A5PLN7
114625	Q9NR30
119307	Q9Y3A5
198907	Q9R194
122080	Q86Y38
116664	Q9UPQ7
128465	Q96L08
129838	O75864
120006	Q8TB92
111123	P40426
137507	Q7Z6K4
122125	Q9H221
1172319	P62139
101221	Q6NRD3
107766	Q92523
112628	P61278
109881	P08514
125003	Q2T9K0
122911	Q9H808
59725	Q7KU24
121685	Q9P206
112642	P78524
122854	Q96M83
107531	O14647
114452	O95985
118810	Q9BV86
110468	P51512
116829	Q5JTH9
108493	P98095
118954	O15466
125812	Q8N9U0
133424	Q8NG75
125369	Q96CT2
250197	Q6MG49
115545	O43610
198584	Q9JLQ0
106602	P12814
199838	P17679
113867	Q93008
110812	Q15019
117672	Q9NSA1
125963	Q86W25
115567	O43281
111518	Q15173
248034	Q9Z2F5
121725	Q5W0V3
229070	Q99LC8
119747	Q9BZW5
107558	P32297
109332	Q02297
115706	Q99784
120445	Q9NVX0
110310	P27448
117923	Q99954
115338	Q9Y3Q4
117130	Q9UBD5
116388	Q9BQ50
106956	P18846
207980	P62878
110637	P03923
120888	Q96HE9
109660	O14879
128685	Q1KMD3
119286	Q8NBX0
123226	Q9C0I9
111652	Q00887
128521	Q5T2N8
118845	Q9BYW2
122558	Q8NC44
120550	Q6TDU7
202415	Q61144
129232	Q8NEX5
115530	O43390
119433	Q9P2S6
112749	P17542
130402	Q86VZ1
123009	Q96D53
115753	Q9UEU0
225938	Q9DCW4
32790	P18238
108223	Q9H8V3
945166	E7ETH6
125873	Q96DH6
116482	Q14CN2
128873	Q96LI5
115766	Q92854
116148	Q14849
108831	P48169
111186	P08559
34593	Q08581
121923	Q9GZT6
64224	P50536
112856	P13385
34061	P36086
106936	Q12797
123914	Q9H7Z6
112398	P43003
231339	Q6PIC6
36703	P39990
120087	P22309
231460	Q7TQH0
198262	P62814
14257	Q96318
125741	Q6NS38
123691	Q9BT81
247502	P15385
35487	P22146
125030	Q8NDC0
127815	Q08AF3
116877	O94889
129544	Q6QNK2
199594	P25446
125640	Q86XJ0
111323	Q00169
112698	Q7KZ85
222795	Q91W90
116353	Q9Y4K4
125243	Q8WV19
116123	Q96KQ7
206582	Q925E7
36404	P38700
258584	Q6R556
110964	P34130
231569	Q80WQ2
125361	Q96PX6
109050	O60262
109959	Q12809
128978	Q6ZNG0
33337	P07806
204117	O35144
115462	Q9Y4F1
117262	Q9UG56
36225	Q12527
198855	Q00493
115282	O14792
111858	Q13972
108284	P47813
228360	Q4G0F8
204651	Q62384
125580	Q96KN8
117353	Q9Y5Z0
113394	P17019
124053	Q96D96
202875	Q9Z205
202815	P13405
34745	P06776
127834	A2RRD8
112117	P46781
108349	P11171
212321	Q9DA37
108417	O00321
115193	Q5SW79
125255	Q96GA7
114804	Q9Y5Y5
109481	P37235
107358	P01730
107974	P08174
109851	P51460
110066	P08779
159596	O18973
246729	P13596
123621	Q5T013
113900	Q9Y4A5
116876	Q9Y2G5
125845	Q8WTQ4
117327	O14926
120921	Q96PN6
129627	Q8N128
111272	O75151
110969	P04629
116721	Q6EMB2
130154	Q8IV33
110971	Q16288
32185	P32599
112989	P19237
130866	Q2M3W8
203207	Q62419
123308	Q9BPU9
108135	Q9BZG8
109948	P48547
122439	Q9BQD7
107624	P23946
115070	O60269
115332	Q8WUM4
113684	Q13155
198405	Q9Z1S0
119039	Q969X2
125921	Q96C03
130113	Q6ZWL3
116764	O14526
34901	P40498
121427	Q9ULJ6
204750	O89033
107970	O75553
108557	P02679
111767	P23471
111964	P07998
35619	P40152
116735	Q9UPQ9
115014	Q14676
125620	Q96MN9
62528	Q9U6Y9
108958	P01286
114765	P51157
124927	Q52M93
122174	Q9H7L9
117037	P67812
119685	Q9UBE8
31612	Q06144
119241	O00488
107901	P56202
231689	Q3UHL1
113245	P46939
111774	P20472
28766	Q56WK6
115058	Q8IYT8
35353	P50263
115563	Q9UNE7
223605	Q8BVE8
249455	O70239
122420	Q9H7E9
116454	Q86XP3
32836	P38111
135071	C9JH25
132390	Q641Q2
204327	Q61056
111291	P48595
109324	P08603
275593	P53692
112397	P43004
110859	P25963
108930	O60383
126541	Q5MJ09
127917	Q460N3
253414	Q3KRE8
128713	Q7RTV2
34939	P40185
110070	Q04695
115657	O00478
111293	Q9UIV8
119718	Q9NTI2
122787	Q96FI4
112550	P08047
127176	Q8NEW0
569383	A1L190
36391	P38736
201613	P28665
256772	Q4FZX7
596506	Q66HG0
111187	P29803
112471	O76082
117136	Q9ULV4
107461	P46527
109701	P08069
36050	P26321
115898	Q9Y5R5
34914	P04801
112168	P19793
214980	Q922R8
124121	A7MD48
118149	O43719
248542	Q62991
126783	Q8WWH5
198473	O88456
108334	Q05925
116927	Q9BSJ8
106890	P52566
128720	O60522
207864	Q8R2S9
124024	Q9BRT6
119983	Q9BSJ6
127807	Q8NCV1
36695	P23301
125472	Q9H147
112927	Q13118
116923	O15061
107980	P14920
112622	P28290
113167	P49459
123840	Q8WUF8
116116	O95399
122576	Q3T906
108814	P11413
108386	Q03468
202246	P50580
131684	P59991
112440	P48764
116730	Q6MZW2
123876	Q9H0G5
32277	P04911
133213	Q6UXT8
110722	Q15746
123274	Q6JQN1
138930	Q8TCD6
204775	Q920G9
131210	Q86XU0
120238	Q53TQ3
126448	Q96A83
119074	Q9NZ20
121153	Q9NR63
115850	O14492
32118	Q12156
36448	P38707
128353	Q3SXY8
35647	P53874
118807	Q9H213
110187	P20700
108150	P21918
120307	Q9H892
222923	Q5EG47
201648	Q5SX39
122370	Q9BYD2
201350	Q61881
112107	P46782
200364	P31311
121668	Q9P244
124102	Q8WWL2
199496	P70424
110725	O00159
110346	P15529
120771	Q7L622
119580	Q9NYZ3
208298	O88513
206181	O35459
108942	P56159
117425	Q96K83
213776	Q8R349
119378	Q9NPH0
117521	O15083
133436	Q96R09
109048	P50150
121260	Q9NRQ5
211501	Q78IK2
127583	Q86XT2
278200	Q09900
128382	Q6PJ69
275336	O94523
203336	Q3TKT4
234760	Q80TB8
130165	A6NDU8
33842	P47133
121385	Q9H1C0
126177	Q6P5X5
313463	Q8WXE1
120365	Q4G0X9
230309	Q9Z1R2
199698	Q64731
123345	Q9H3S3
109241	P51841
132000	O00468
108078	Q92813
132991	A8MV65
106851	P25445
123516	Q96AW1
131072	Q86XK7
121592	Q9P2M4
125855	Q96DA0
120367	Q9BXL8
127934	Q6ZSB9
117001	P17081
129917	Q69YU3
130097	Q96FX2
128110	Q96L33
1776957	Q2HRC6
115814	O43927
129771	Q86WA9
112518	P62318
207619	Q3UND0
248477	P46152
215780	Q7TS73
111648	Q15238
279361	Q1K9C2
107405	P08962
126588	Q8N7X1
108312	P32519
114747	Q15836
114966	P13667
107697	Q03692
119900	Q96NY7
256809	Q4V7E8
